club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
105,sv-darmstadt-98,SV Darmstadt 98,L1,,30,263,11,367,1,Merck-Stadion am Böllenfalltor,17500,€-1.60m,,2023,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
12,as-rom,AS Roma,IT1,,26,273,17,654,17,Olimpico di Roma,73261,+€65.20m,,2023,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
148,tottenham-hotspur,Tottenham Hotspur,GB1,,29,261,21,724,22,Tottenham Hotspur Stadium,62062,€-130.40m,,2023,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
4795,fc-ingolstadt-04,FC Ingolstadt 04,L1,,28,243,8,286,1,Audi Sportpark,15800,+€1.55m,,2016,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
5358,sd-huesca,SD Huesca,ES1,,24,275,8,333,2,El Alcoraz,9128,+€1.43m,,2020,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
603,cardiff-city,Cardiff City,GB1,,28,255,24,857,8,Cardiff City Stadium,33280,€-655k,,2018,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
969,montpellier-hsc,Montpellier HSC,FR1,,24,260,12,500,6,Stade de la Mosson,32939,+€31.80m,,2023,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
989,afc-bournemouth,AFC Bournemouth,GB1,,29,263,20,690,14,Vitality Stadium,11329,€-126.19m,,2023,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
993,fc-cordoba,Córdoba CF,ES1,,24,279,4,167,0,Nuevo Arcángel,21822,+-0,,2014,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
1025,fc-bologna,Bologna FC 1909,IT1,,26,252,18,692,13,Stadio Renato Dall’Ara,36462,€-18.50m,,2023,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
1082,losc-lille,LOSC Lille,FR1,,24,260,17,708,6,Decathlon Arena-Stade Pierre-Mauroy,50186,+€6.10m,,2023,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
1160,nimes-olympique,Nîmes Olympique,FR1,,26,254,12,462,3,Stade des Antonins,8033,+€2.50m,,2020,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
3008,hull-city,Hull City,GB1,,28,250,17,607,6,MKM Stadium,25586,+€7.50m,,2016,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
31,fc-liverpool,Liverpool FC,GB1,,26,261,21,808,17,Anfield,54074,€-111.30m,,2023,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31
3911,stade-brest-29,Stade Brestois 29,FR1,,25,259,7,280,4,Stade Francis-Le Blé,15220,+€5.10m,,2023,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
4,1-fc-nurnberg,1.FC Nuremberg,L1,,33,252,7,212,2,Max-Morlock-Stadion,50000,+€2.63m,,2018,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
410,udinese-calcio,Udinese Calcio,IT1,,36,250,31,861,8,Bluenergy Stadium,25144,+€5.56m,,2023,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
595,sc-bastia,SC Bastia,FR1,,25,276,8,320,6,Stade Armand-Cesari,16480,+€480k,,2016,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
1010,fc-watford,Watford FC,GB1,,30,263,24,800,12,Vicarage Road,21577,+€42.02m,,2021,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
1108,deportivo-alaves,Deportivo Alavés,ES1,,23,257,9,391,3,Mendizorroza,19840,€-6.30m,,2023,https://www.transfermarkt.co.uk/deportivo-alaves/startseite/verein/1108
1158,fc-lorient,FC Lorient,FR1,,30,250,14,467,10,Stade du Moustoir,19010,+€37.70m,,2023,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
13,atletico-madrid,Atlético de Madrid,ES1,,24,292,14,583,14,Civitas Metropolitano,67829,+€57.30m,,2023,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
131,fc-barcelona,FC Barcelona,ES1,,21,266,10,476,16,Olímpic Lluís Companys,55926,+€102.00m,,2023,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
18,borussia-monchengladbach,Borussia Mönchengladbach,L1,,31,257,17,548,8,Stadion im Borussia-Park,54042,€-4.28m,,2023,https://www.transfermarkt.co.uk/borussia-monchengladbach/startseite/verein/18
2036,1-fc-heidenheim-1846,1.FC Heidenheim 1846,L1,,28,262,5,179,1,Voith-Arena,15000,€-2.30m,,2023,https://www.transfermarkt.co.uk/1-fc-heidenheim-1846/startseite/verein/2036
273,fc-stade-rennes,Stade Rennais FC,FR1,,25,246,10,400,7,Roazhon Park,29778,+€85.60m,,2023,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273
