game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
3229545,IT1,2019,38. Matchday,02/08/2020,6574,410,0,1,8,13,Roberto De Zerbi,Luca Gotti,Mapei Stadium - Città del Tricolore,,Daniel Amabile,https://www.transfermarkt.co.uk/us-sassuolo_udinese-calcio/index/spielbericht/3229545,,,US Sassuolo,Udinese Calcio,00:01:00,domestic_league
3229537,IT1,2019,38. Matchday,02/08/2020,2722,430,1,3,20,10,Luigi Di Biagio,Giuseppe Iachini,Paolo Mazza,,Alessandro Prontera,https://www.transfermarkt.co.uk/spal_acf-fiorentina/index/spielbericht/3229537,,,SPAL,ACF Fiorentina,01:03:00,domestic_league
3229544,IT1,2019,38. Matchday,02/08/2020,1025,416,1,1,12,16,Siniša Mihajlović,Moreno Longo,Stadio Renato Dall’Ara,,Antonio Di Martino,https://www.transfermarkt.co.uk/bologna-fc-1909_torino-fc/index/spielbericht/3229544,,,Bologna FC 1909,Torino FC,01:01:00,domestic_league
3229541,IT1,2019,38. Matchday,02/08/2020,1005,130,3,4,18,11,Fabio Liverani,Roberto D'Aversa,Ettore Giardiniero,,Maurizio Mariani,https://www.transfermarkt.co.uk/us-lecce_parma-calcio-1913/index/spielbericht/3229541,,,US Lecce,Parma Calcio 1913,03:04:00,domestic_league
3229538,IT1,2019,38. Matchday,02/08/2020,252,276,3,0,17,9,Davide Nicola,Ivan Juric,Luigi Ferraris,,Massimiliano Irrati,https://www.transfermarkt.co.uk/genoa-cfc_hellas-verona/index/spielbericht/3229538,,,Genoa CFC,Hellas Verona,03:00:00,domestic_league
3229539,IT1,2019,38. Matchday,01/08/2020,800,46,0,2,3,2,Gian Piero Gasperini,Antonio Conte,Gewiss Stadium,,Piero Giacomelli,https://www.transfermarkt.co.uk/atalanta-bc_inter-milan/index/spielbericht/3229539,,,Atalanta BC,Inter Milan,00:02:00,domestic_league
3229540,IT1,2019,38. Matchday,01/08/2020,6195,398,3,1,7,4,Gennaro Gattuso,Simone Inzaghi,Stadio Diego Armando Maradona,,Gianpaolo Calvarese,https://www.transfermarkt.co.uk/ssc-napoli_ss-lazio/index/spielbericht/3229540,,,SSC Napoli,SS Lazio,03:01:00,domestic_league
3229542,IT1,2019,38. Matchday,01/08/2020,506,12,1,3,1,5,Maurizio Sarri,Paulo Fonseca,Allianz Stadium,,Gianluca Rocchi,https://www.transfermarkt.co.uk/juventus-fc_as-roma/index/spielbericht/3229542,,,Juventus FC,AS Roma,01:03:00,domestic_league
3229536,IT1,2019,38. Matchday,01/08/2020,5,1390,3,0,6,14,Stefano Pioli,Walter Zenga,Giuseppe Meazza,,Marco Serra,https://www.transfermarkt.co.uk/ac-milan_cagliari-calcio/index/spielbericht/3229536,,,AC Milan,Cagliari Calcio,03:00:00,domestic_league
3229543,IT1,2019,38. Matchday,01/08/2020,19,1038,1,1,19,15,Diego López,Claudio Ranieri,Mario Rigamonti,,Michael Fabbri,https://www.transfermarkt.co.uk/brescia-calcio_uc-sampdoria/index/spielbericht/3229543,,,Brescia Calcio,UC Sampdoria,01:01:00,domestic_league
3229534,IT1,2019,37. Matchday,29/07/2020,416,12,2,3,16,5,Moreno Longo,Paulo Fonseca,Stadio Olimpico Grande Torino,,Marco Piccinini,https://www.transfermarkt.co.uk/torino-fc_as-roma/index/spielbericht/3229534,,,Torino FC,AS Roma,02:03:00,domestic_league
3229528,IT1,2019,37. Matchday,29/07/2020,398,19,2,0,4,19,Simone Inzaghi,Diego López,Olimpico di Roma,,Luca Massimi,https://www.transfermarkt.co.uk/ss-lazio_brescia-calcio/index/spielbericht/3229528,,,SS Lazio,Brescia Calcio,02:00:00,domestic_league
3229535,IT1,2019,37. Matchday,29/07/2020,276,2722,3,0,9,20,Ivan Juric,Luigi Di Biagio,Marcantonio Bentegodi,,Simone Sozza,https://www.transfermarkt.co.uk/hellas-verona_spal/index/spielbericht/3229535,,,Hellas Verona,SPAL,03:00:00,domestic_league
3229531,IT1,2019,37. Matchday,29/07/2020,410,1005,1,2,14,18,Luca Gotti,Fabio Liverani,Dacia Arena,,Daniele Orsato,https://www.transfermarkt.co.uk/udinese-calcio_us-lecce/index/spielbericht/3229531,,,Udinese Calcio,US Lecce,01:02:00,domestic_league
3229527,IT1,2019,37. Matchday,29/07/2020,430,1025,4,0,10,12,Giuseppe Iachini,Siniša Mihajlović,Artemio Franchi,,Marco Di Bello,https://www.transfermarkt.co.uk/acf-fiorentina_bologna-fc-1909/index/spielbericht/3229527,,,ACF Fiorentina,Bologna FC 1909,04:00:00,domestic_league
3229532,IT1,2019,37. Matchday,29/07/2020,1038,5,1,4,15,6,Claudio Ranieri,Stefano Pioli,Luigi Ferraris,,Fabrizio Pasqua,https://www.transfermarkt.co.uk/uc-sampdoria_ac-milan/index/spielbericht/3229532,,,UC Sampdoria,AC Milan,01:04:00,domestic_league
3229530,IT1,2019,37. Matchday,29/07/2020,1390,506,2,0,13,1,Walter Zenga,Maurizio Sarri,Unipol Domus,,Davide Ghersini,https://www.transfermarkt.co.uk/cagliari-calcio_juventus-fc/index/spielbericht/3229530,,,Cagliari Calcio,Juventus FC,02:00:00,domestic_league
3229529,IT1,2019,37. Matchday,29/07/2020,6574,252,5,0,8,17,Roberto De Zerbi,Davide Nicola,Mapei Stadium - Città del Tricolore,,Fabio Maresca,https://www.transfermarkt.co.uk/us-sassuolo_genoa-cfc/index/spielbericht/3229529,,,US Sassuolo,Genoa CFC,05:00:00,domestic_league
3229526,IT1,2019,37. Matchday,28/07/2020,130,800,1,2,11,3,Roberto D'Aversa,Gian Piero Gasperini,Ennio Tardini,,Luca Pairetto,https://www.transfermarkt.co.uk/parma-calcio-1913_atalanta-bc/index/spielbericht/3229526,,,Parma Calcio 1913,Atalanta BC,01:02:00,domestic_league
3229533,IT1,2019,37. Matchday,28/07/2020,46,6195,2,0,2,7,Antonio Conte,Gennaro Gattuso,Giuseppe Meazza,,Paolo Valeri,https://www.transfermarkt.co.uk/inter-milan_ssc-napoli/index/spielbericht/3229533,,,Inter Milan,SSC Napoli,02:00:00,domestic_league
3229522,IT1,2019,36. Matchday,26/07/2020,506,1038,2,0,1,15,Maurizio Sarri,Claudio Ranieri,Allianz Stadium,,Francesco Fourneau,https://www.transfermarkt.co.uk/juventus-fc_uc-sampdoria/index/spielbericht/3229522,,,Juventus FC,UC Sampdoria,02:00:00,domestic_league
3219103,GB1,2019,38. Matchday,26/07/2020,1132,1237,1,2,10,15,Sean Dyche,Graham Potter,Turf Moor,,Jonathan Moss,https://www.transfermarkt.co.uk/burnley-fc_brighton-amp-hove-albion/index/spielbericht/3219103,,,Burnley FC,Brighton & Hove Albion,01:02:00,domestic_league
3219104,GB1,2019,38. Matchday,26/07/2020,873,148,1,1,14,6,Roy Hodgson,José Mourinho,Selhurst Park,,Andre Marriner,https://www.transfermarkt.co.uk/crystal-palace_tottenham-hotspur/index/spielbericht/3219104,,,Crystal Palace,Tottenham Hotspur,01:01:00,domestic_league
3229517,IT1,2019,36. Matchday,26/07/2020,12,430,2,1,5,12,Paulo Fonseca,Giuseppe Iachini,Olimpico di Roma,,Daniele Chiffi,https://www.transfermarkt.co.uk/as-roma_acf-fiorentina/index/spielbericht/3229517,,,AS Roma,ACF Fiorentina,02:01:00,domestic_league
3229524,IT1,2019,36. Matchday,26/07/2020,2722,416,1,1,20,16,Luigi Di Biagio,Moreno Longo,Paolo Mazza,,Rosario Abisso,https://www.transfermarkt.co.uk/spal_torino-fc/index/spielbericht/3229524,,,SPAL,Torino FC,01:01:00,domestic_league
3219099,GB1,2019,38. Matchday,26/07/2020,281,1123,5,0,2,20,Pep Guardiola,Daniel Farke,Etihad Stadium,,Craig Pawson,https://www.transfermarkt.co.uk/manchester-city_norwich-city/index/spielbericht/3219099,,,Manchester City,Norwich City,05:00:00,domestic_league
3219100,GB1,2019,38. Matchday,26/07/2020,180,350,3,1,11,9,Ralph Hasenhüttl,Chris Wilder,St Mary's Stadium,,Peter Bankes,https://www.transfermarkt.co.uk/southampton-fc_sheffield-united/index/spielbericht/3219100,,,Southampton FC,Sheffield United,03:01:00,domestic_league
3219098,GB1,2019,38. Matchday,26/07/2020,1003,985,0,2,5,3,Brendan Rodgers,Ole Gunnar Solskjaer,King Power Stadium,,Martin Atkinson,https://www.transfermarkt.co.uk/leicester-city_manchester-united/index/spielbericht/3219098,,,Leicester City,Manchester United,00:02:00,domestic_league
3229519,IT1,2019,36. Matchday,26/07/2020,276,398,1,5,9,4,Ivan Juric,Simone Inzaghi,Marcantonio Bentegodi,,Manuel Volpi,https://www.transfermarkt.co.uk/hellas-verona_ss-lazio/index/spielbericht/3229519,,,Hellas Verona,SS Lazio,01:05:00,domestic_league
3229525,IT1,2019,36. Matchday,26/07/2020,1390,410,0,1,14,13,Walter Zenga,Luca Gotti,Unipol Domus,,Fabrizio Pasqua,https://www.transfermarkt.co.uk/cagliari-calcio_udinese-calcio/index/spielbericht/3229525,,,Cagliari Calcio,Udinese Calcio,00:01:00,domestic_league
3219105,GB1,2019,38. Matchday,26/07/2020,631,543,2,0,4,7,Frank Lampard,Nuno Espírito Santo,Stamford Bridge,,Stuart Attwell,https://www.transfermarkt.co.uk/chelsea-fc_wolverhampton-wanderers/index/spielbericht/3219105,,,Chelsea FC,Wolverhampton Wanderers,02:00:00,domestic_league
3219108,GB1,2019,38. Matchday,26/07/2020,379,405,1,1,16,17,David Moyes,Dean Smith,London Stadium,,Michael Oliver,https://www.transfermarkt.co.uk/west-ham-united_aston-villa/index/spielbericht/3219108,,,West Ham United,Aston Villa,01:01:00,domestic_league
3219102,GB1,2019,38. Matchday,26/07/2020,762,31,1,3,13,1,Steve Bruce,Jürgen Klopp,St James' Park,,Anthony Taylor,https://www.transfermarkt.co.uk/newcastle-united_liverpool-fc/index/spielbericht/3219102,,,Newcastle United,Liverpool FC,01:03:00,domestic_league
3219096,GB1,2019,38. Matchday,26/07/2020,29,989,1,3,12,18,Carlo Ancelotti,Eddie Howe,Goodison Park,,Chris Kavanagh,https://www.transfermarkt.co.uk/everton-fc_afc-bournemouth/index/spielbericht/3219096,,,Everton FC,AFC Bournemouth,01:03:00,domestic_league
3219097,GB1,2019,38. Matchday,26/07/2020,11,1010,3,2,8,19,Mikel Arteta,Hayden Mullins,Emirates Stadium,,Mike Dean,https://www.transfermarkt.co.uk/arsenal-fc_watford-fc/index/spielbericht/3219097,,,Arsenal FC,Watford FC,03:02:00,domestic_league
3229520,IT1,2019,36. Matchday,26/07/2020,1025,1005,3,2,10,18,Siniša Mihajlović,Fabio Liverani,Stadio Renato Dall’Ara,,Gianpaolo Calvarese,https://www.transfermarkt.co.uk/bologna-fc-1909_us-lecce/index/spielbericht/3229520,,,Bologna FC 1909,US Lecce,03:02:00,domestic_league
