Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Juventus;38;28;6;4;70;30;40;90;64.53;-5.47;35.03;5.03;29.5;70.93;-19.07
Napoli;38;24;7;7;74;36;38;79;68.24;-5.76;36.5;0.5;31.74;74.45;-4.55
Atalanta;38;20;9;9;77;46;31;69;74.43;-2.57;41.85;-4.15;32.58;71.88;2.88
Inter;38;20;9;9;57;33;24;69;66.47;9.47;38.4;5.4;28.07;71.75;2.75
AC Milan;38;19;11;8;55;36;19;68;52.16;-2.84;41.7;5.7;10.46;60.11;-7.89
Roma;38;18;12;8;66;48;18;66;68.39;2.39;52.79;4.79;15.6;62.13;-3.87
Torino;38;16;15;7;52;37;15;63;46.47;-5.53;48.94;11.94;-2.47;49.84;-13.16
Lazio;38;17;8;13;56;46;10;59;61.27;5.27;46.45;0.45;14.82;61.04;2.04
Sampdoria;38;15;8;15;60;51;9;53;53.19;-6.81;54.27;3.27;-1.08;50.95;-2.05
Bologna;38;11;11;16;48;56;-8;44;48.1;0.1;51.06;-4.94;-2.96;48.95;4.95
Sassuolo;38;9;16;13;53;60;-7;43;49.75;-3.25;61.11;1.11;-11.36;45.64;2.64
Udinese;38;11;10;17;39;53;-14;43;42.49;3.49;62.23;9.23;-19.74;38.67;-4.33
SPAL 2013;38;11;9;18;44;56;-12;42;43.28;-0.72;54.01;-1.99;-10.73;44.73;2.73
Fiorentina;38;8;17;13;47;45;2;41;54.12;7.12;44.08;-0.92;10.04;59.22;18.22
Cagliari;38;10;11;17;36;54;-18;41;40.94;4.94;63.74;9.74;-22.8;39.37;-1.63
Parma Calcio 1913;38;10;11;17;41;61;-20;41;41.1;0.1;64.98;3.98;-23.88;36.78;-4.22
Genoa;38;8;14;16;39;57;-18;38;44.54;5.54;56.35;-0.65;-11.81;44.68;6.68
Empoli;38;10;8;20;51;70;-19;38;52.06;1.06;63.33;-6.67;-11.27;46.54;8.54
Frosinone;38;5;10;23;29;69;-40;25;36.1;7.1;64.59;-4.41;-28.49;35.94;10.94
