,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
0,Harry Kane,Tottenham,EPL,30,2556,29,24,7,19.82009919732809,5.5538915153592825,15.253085978329182,0.6978908168073271,0.19555956039997474,0.5370804921946895,F M S,110,41,3,0,4.12599990144372,21.94719305820763
1,Romelu Lukaku,Everton,EPL,37,3271,25,24,6,16.665452419780195,5.440816408023238,15.904283582232893,0.45854194979523616,0.1497014603246993,0.4375987534090371,F S,110,47,3,0,3.9702013842761517,21.251998490653932
2,Alexis Sánchez,Arsenal,EPL,38,3233,24,22,10,17.724449135363102,8.988117071799934,15.44094256311655,0.4934118225124278,0.25021049689514197,0.4298437459574666,F M S,129,78,6,0,9.08672859147191,27.14118772558868
3,Sergio Agüero,Manchester City,EPL,31,2408,20,16,3,22.672585003077984,4.665906261652708,18.866740860044956,0.8473972800153732,0.17439018419798327,0.7051522746694543,F S,139,31,4,1,5.0266740852966905,25.35206551104784
4,Diego Costa,Chelsea,EPL,35,3101,20,20,7,15.431797001510859,4.912058966234326,14.670628163963556,0.4478754369996702,0.14256217573721036,0.4257841131108417,F,111,42,10,0,6.565549122169614,22.003214471042156
5,Dele Alli,Tottenham,EPL,37,3060,18,17,7,14.708572203293443,4.573811644688249,13.94740335084498,0.4326050648027483,0.13452387190259554,0.4102177456130876,F M S,94,52,4,0,8.973644252866507,25.15399905666709
6,Zlatan Ibrahimovic,Manchester United,EPL,28,2435,17,15,5,14.637966640293598,5.118233239278197,12.354460082948208,0.5410336745899071,0.18917494518892722,0.45663302154634033,F S,115,48,7,0,6.219504989683628,20.0569379478693
7,Joshua King,Bournemouth,EPL,36,2734,16,14,2,10.911753680557013,2.409230097196996,8.628247126936913,0.3592018402524254,0.07930896442857706,0.28403154404693565,F M S,67,30,1,0,3.4120457973331213,12.56197816412896
8,Eden Hazard,Chelsea,EPL,36,3050,16,14,5,11.032845260575414,6.440569620579481,8.749338624998927,0.3255593683448483,0.19004959536136173,0.25817720532783717,F M,77,88,3,0,9.108128473162651,20.609456665813923
9,Christian Benteke,Crystal Palace,EPL,36,3153,15,13,2,17.355857238173485,2.058575801551342,14.311181794852018,0.4954098165035248,0.058760489102321845,0.4085018590347864,F,105,32,10,0,4.110886909067631,13.20292018726468
10,Jermain Defoe,Sunderland,EPL,37,3324,15,10,2,13.647569719702005,1.3696135636419058,9.841725539416075,0.36951903573200373,0.03708339973759673,0.26647271316108506,F,99,20,1,0,2.2906542737036943,11.509980512782931
11,Fernando Llorente,Swansea,EPL,33,2462,15,15,1,8.028606227599084,2.0905658253468573,8.028606227599084,0.2934908856555311,0.07642198386726935,0.2934908856555311,F S,51,26,2,0,2.960022170096636,8.600844793021679
12,Son Heung-Min,Tottenham,EPL,34,2069,14,14,6,7.7653309646993876,4.6964171743020415,7.7653309646993876,0.33778626719330346,0.20429074223643487,0.33778626719330346,F M S,80,43,2,0,4.281621094793081,14.948595624417067
13,Philippe Coutinho,Liverpool,EPL,31,2265,13,13,7,8.867860797792673,6.25872527807951,8.867860797792673,0.35236532971361617,0.24869107065216595,0.35236532971361617,F M S,106,65,2,0,8.191241776570678,18.205970101058483
14,Jamie Vardy,Leicester,EPL,35,2822,13,13,5,9.947158509865403,4.6759524792432785,9.947158509865403,0.3172375144889746,0.14912676227211022,0.3172375144889746,F S,53,31,2,1,2.7869283128529787,14.123056959360838
15,Sadio Mané,Liverpool,EPL,27,2257,13,13,5,9.480921443551779,4.445210799574852,9.480921443551779,0.3780606689940895,0.17725696586696352,0.3780606689940895,F S,57,43,4,0,9.525848926976323,20.18912971019745
16,Olivier Giroud,Arsenal,EPL,29,1170,12,12,3,6.9990871623158455,2.0118068866431713,6.9990871623158455,0.538391320178142,0.15475437589562857,0.538391320178142,F S,39,17,2,0,1.8246372137218714,9.583839835599065
17,Roberto Firmino,Liverpool,EPL,35,3077,11,11,7,10.36466862168163,7.852919233031571,10.36466862168163,0.3031589782097325,0.2296921452625419,0.3031589782097325,F S,100,78,5,0,11.649146885611117,24.931323517113924
18,Theo Walcott,Arsenal,EPL,28,1944,10,10,2,9.90147614851594,2.525607186369598,9.140307281166315,0.45840167354240463,0.11692625862822213,0.4231623741280701,F M S,62,13,1,0,2.4239509468898177,11.12321549281478
19,Troy Deeney,Watford,EPL,37,2940,10,7,4,8.593499574810266,3.109724134206772,6.309993013739586,0.26306631351459997,0.09519563676143179,0.19316305144100773,F S,42,40,7,0,2.0820994712412357,9.318243147805333
20,Sam Vokes,Burnley,EPL,37,2030,10,8,3,8.347451165318489,1.529019863344729,6.825113475322723,0.37008404181214977,0.06778905798080079,0.3025912378221897,F S,57,15,0,0,1.6939680464565754,7.930251639336348
21,Michail Antonio,West Ham,EPL,29,2451,9,9,3,9.790298977866769,3.3898435942828655,9.790298977866769,0.3594969024920478,0.1244740609895789,0.3594969024920478,D F M,77,31,4,1,3.0400038193911314,13.22930390201509
22,Pedro,Chelsea,EPL,35,2178,9,9,9,5.991285152733326,5.526838848367333,5.991285152733326,0.24757376664187297,0.22838177059369147,0.24757376664187297,F M S,59,42,6,0,6.784707440063357,16.252319436520338
23,Gylfi Sigurdsson,Swansea,EPL,38,3329,9,6,13,8.569290215149522,8.26896715350449,6.285783709958196,0.23167200942128477,0.22355273169582582,0.16993707837075325,F M S,116,79,2,0,3.8264177944511175,10.746342577040195
24,Andre Gray,Burnley,EPL,32,2279,9,7,3,7.5646293964236975,1.4715806897729635,6.0422917399555445,0.29873481600620133,0.05811420012267078,0.23861617226678325,F S,47,19,2,0,2.105895319953561,7.819863164797425
25,Álvaro Negredo,Middlesbrough,EPL,36,2891,9,7,4,8.803118656389415,4.100407935678959,7.28078097384423,0.27405073644934186,0.12765019516122666,0.22665869513869966,F S,69,26,5,0,2.790741080418229,11.963991000317037
26,Adam Lallana,Liverpool,EPL,31,2371,8,8,7,4.506964704953134,4.11239049769938,4.506964704953134,0.17107837344824212,0.15610086241794358,0.17107837344824212,F M S,50,42,3,0,10.077395507134497,16.629958100616932
27,Mesut Özil,Arsenal,EPL,33,2856,8,8,9,5.606559839099646,8.070466492325068,5.606559839099646,0.17667730585398042,0.25432142307747063,0.17667730585398042,M S,40,100,2,0,14.728361110202968,22.842755306512117
28,Manuel Lanzini,West Ham,EPL,35,2727,8,6,2,6.071730084717274,4.0067572221159935,4.549392390996218,0.20038713150882093,0.1322362119510229,0.1501449633992151,F M S,69,57,9,0,8.28710924088955,13.376224284991622
29,Christian Eriksen,Tottenham,EPL,36,3181,8,8,15,8.864706524647772,11.740697804838419,8.864706524647772,0.2508090497385412,0.33217944119316495,0.2508090497385412,M,133,112,0,0,10.89121271762997,22.943159885704517
30,Willian,Chelsea,EPL,34,1509,8,8,2,3.756879383698106,3.064137725159526,3.756879383698106,0.2240683529044596,0.18275175299162183,0.2240683529044596,F M S,44,51,3,0,4.566343067213893,9.140881100669503
31,Salomón Rondón,West Bromwich Albion,EPL,38,2902,8,8,2,9.357964286580682,2.852167099714279,9.357964286580682,0.29021942997665795,0.08845452755833395,0.29021942997665795,F S,93,26,2,0,2.5777680734172463,13.401623196899891
32,Junior Stanislas,Bournemouth,EPL,21,1489,7,5,5,4.84796876180917,3.854853673838079,3.325631027109921,0.2930269903041137,0.23299988626287918,0.2010119492544613,M S,43,22,1,0,4.26849808730185,7.382432241924107
33,Divock Origi,Liverpool,EPL,34,1450,7,7,3,5.523564676754177,1.602315817028284,5.523564676754177,0.3428419454537075,0.09945408519485902,0.3428419454537075,F S,37,16,0,0,1.9656787533313036,7.650571350008249
34,James Milner,Liverpool,EPL,36,3170,7,0,3,7.355007588863373,3.95104325003922,1.265656827017665,0.20881725015700428,0.11217472949638163,0.03593347458409774,D M,36,56,5,0,12.45564359985292,14.35893777385354
35,Wilfried Zaha,Crystal Palace,EPL,35,3033,7,7,9,5.5702579310163856,4.54127433244139,5.5702579310163856,0.1652895528491509,0.13475591490924005,0.1652895528491509,F M S,49,38,8,0,3.012104896828532,12.49816120043397
36,Andy Carroll,West Ham,EPL,18,1318,7,7,1,4.521654654294252,1.7217979673296213,4.521654654294252,0.30876245742525243,0.11757345755665093,0.30876245742525243,F S,39,14,3,0,3.0096439719200134,6.552715137600899
37,Etienne Capoue,Watford,EPL,37,3231,7,7,1,3.717310607433319,1.509295605123043,3.717310607433319,0.1035462564744657,0.04204166030983407,0.1035462564744657,M,50,37,5,0,2.6800302416086197,6.283082967624068
38,Raheem Sterling,Manchester City,EPL,33,2532,7,7,6,8.106001383624971,5.496263796463609,8.106001383624971,0.28812801126629045,0.1953648268885169,0.28812801126629045,F M S,64,46,7,0,6.755210315808654,18.462579221464694
39,Nathan Redmond,Southampton,EPL,37,2917,7,7,1,4.817707696929574,5.891833748668432,4.817707696929574,0.14864370679590733,0.181784380315447,0.14864370679590733,F M S,83,57,2,1,6.430118191987276,15.177740208804607
40,Peter Crouch,Stoke,EPL,27,1319,7,7,2,5.874592637643218,3.203837755136192,5.874592637643218,0.40084407686724005,0.21860909625644978,0.40084407686724005,F S,37,17,3,0,1.76161577552557,7.918547287583351
41,Islam Slimani,Leicester,EPL,23,1275,7,6,4,6.82391251809895,2.0667083468288183,6.062743680551648,0.48168794245404356,0.14588529507026954,0.4279583774507046,F S,35,17,1,0,2.0830837078392506,7.70701452717185
42,Robert Snodgrass,"Hull,West Ham",EPL,35,2563,7,5,5,4.38358767144382,4.324670488014817,2.8612499739974737,0.15393011721808186,0.15186123446013794,0.1004730775106409,F M S,50,61,2,0,3.4333377704024315,5.552827124483883
43,Gabriel Jesus,Manchester City,EPL,10,649,7,6,4,7.243859618902206,1.890665166079998,6.482727557420731,1.004541395533434,0.26218777341633254,0.8989914948657408,F M S,24,10,2,0,1.1323138484731317,8.800844706594944
44,Kevin De Bruyne,Manchester City,EPL,36,2893,6,6,18,6.771996598690748,15.88864896632731,6.010864537209272,0.21067393497482453,0.49428911405788384,0.18699544014823177,F M S,86,103,4,0,15.754015326499939,28.542687937617302
45,Callum Wilson,Bournemouth,EPL,20,1382,6,3,0,5.365591797977686,0.550071083009243,3.082085270434618,0.3494234890144658,0.03582228471116633,0.20071467028879567,F S,31,8,0,0,0.8914682120084763,4.324738476425409
