indCol,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
0,Pierre-Emerick Aubameyang,Arsenal,EPL,36,2740,22,18,5,23.549966726452112,4.989846890792251,19.744122434407473,0.773539053058646,0.16390008035449,0.6485295690133841,F M S,94,33,0,0,6.483642949722707,26.582426249980927
1,Sadio Mané,Liverpool,EPL,36,3100,22,22,1,16.762808084487915,5.123734523542225,16.762808084487915,0.48666217019481045,0.14875358294154847,0.48666217019481045,F M S,87,45,2,0,8.485077820718288,28.40134635940194
2,Mohamed Salah,Liverpool,EPL,38,3274,22,19,8,21.79245018400252,10.468589510768652,19.508943611755967,0.5990594125107596,0.28777429931862514,0.5362873931148555,F S,137,68,1,0,7.865945274010301,31.780298396945
3,Sergio Agüero,Manchester City,EPL,33,2515,21,19,8,19.9491464830935,5.22924312017858,18.426808904856443,0.713885957645493,0.18712997249148,0.6594086685634513,F S,118,34,3,0,8.100998356938362,28.70022003352642
4,Jamie Vardy,Leicester,EPL,34,2740,18,14,4,19.11597566306591,5.13733013253659,15.310131333768368,0.6278970108306321,0.1687444204117858,0.5028875255617347,F S,79,32,3,1,1.9056932125240564,20.782562378793955
5,Raheem Sterling,Manchester City,EPL,34,2788,17,17,10,15.907645806670189,10.792034206911922,15.907645806670189,0.5135179779771581,0.34837987038094437,0.5135179779771581,F M S,77,66,3,0,12.632533352822065,33.02193847298622
6,Harry Kane,Tottenham,EPL,28,2437,17,13,4,16.12239446118474,4.562663219869137,13.077755857259035,0.595410546371205,0.16850212958072314,0.48297005627957046,F S,102,30,5,0,4.841164272278547,18.838230532594025
7,Eden Hazard,Chelsea,EPL,37,2935,16,12,15,12.299005899578333,11.570390027016401,9.254330594092607,0.3771415778405622,0.3547990127534842,0.28377845092617876,F S,93,98,2,0,11.546570284292102,25.32870591431856
8,Callum Wilson,Bournemouth,EPL,30,2548,14,13,9,16.016500677913427,5.955955449491739,14.494162943214178,0.5657319705699405,0.21037519248597195,0.5119602295483815,F S,65,31,3,0,5.061332296580076,21.330359410494566
9,Gylfi Sigurdsson,Everton,EPL,38,3150,13,11,6,12.118343196809292,6.791106753051281,8.312648046761751,0.3462383770516941,0.19403162151575087,0.2375042299074786,F M S,86,74,3,0,5.154639239422977,15.667064221575856
10,Glenn Murray,Brighton,EPL,38,2517,13,9,1,11.541339591145515,1.1180225415155292,8.49666416272521,0.41268198776444037,0.03997696811140152,0.30381397482926853,F S,54,12,5,0,1.3960120500996709,8.42803375609219
11,Paul Pogba,Manchester United,EPL,35,3013,13,6,9,15.87753972876817,5.186745170503855,8.265851370058954,0.4742710174540774,0.15493098750260437,0.24690561676246459,M S,105,55,6,0,11.593518570065498,21.12592289596796
12,Alexandre Lacazette,Arsenal,EPL,35,2498,13,13,8,12.033691215328872,4.100151715800166,12.033691215328872,0.43355973153706906,0.14772364068135105,0.43355973153706906,F S,81,31,2,0,8.813803711906075,22.075838117860258
13,Raúl Jiménez,Wolverhampton Wanderers,EPL,38,3143,13,11,7,14.273595059290528,6.991126699373126,12.75125745870173,0.4087252800942245,0.20019134678446748,0.365133048451529,F M S,111,42,4,0,4.337959002703428,20.91793861053884
14,Richarlison,Everton,EPL,35,2702,13,13,1,11.333979241549969,1.9562372555956244,11.333979241549969,0.37751966385621655,0.06515964211828505,0.37751966385621655,F M S,82,20,5,1,5.10016942024231,13.40034743025899
15,Son Heung-Min,Tottenham,EPL,31,2061,12,12,6,8.36306463368237,3.9653114024549723,8.36306463368237,0.3651993289817629,0.17315770316397258,0.3651993289817629,F M S,74,33,2,1,6.02678457647562,16.200825087726116
16,Joshua King,Bournemouth,EPL,35,2987,12,7,3,13.546660237014294,4.257977558299899,8.979647155851126,0.40816853743933257,0.128295272931701,0.27056184935607674,F M S,72,37,3,0,8.407384060323238,19.067666817456484
17,Roberto Firmino,Liverpool,EPL,34,2631,12,11,6,13.737689750269055,6.344290215522051,12.976520912721753,0.46993237458160964,0.21702247031432328,0.4438946720429334,F M S,75,43,0,0,9.149718433618546,24.34563909471035
18,Romelu Lukaku,Manchester United,EPL,32,2113,12,12,0,13.105178356170654,2.320214493200183,13.105178356170654,0.5581950080716322,0.0988259840927669,0.5581950080716322,F S,55,21,4,0,5.426005006767809,15.425704501569271
19,Ayoze Pérez,Newcastle United,EPL,37,2950,12,12,2,8.294692774303257,4.032593822106719,8.294692774303257,0.2530584236228112,0.12302828609817108,0.2530584236228112,F M S,55,45,2,0,5.627833100035787,15.605257639661431
20,Ashley Barnes,Burnley,EPL,37,2379,12,10,2,13.257514169439673,3.6403047926723957,11.735213300213218,0.5015453027530772,0.13771644865091032,0.44395510593492626,F S,65,22,8,0,2.0961158219724894,14.351634686812758
21,Luka Milivojevic,Crystal Palace,EPL,38,3420,12,2,2,10.491015195380896,3.3903411589562893,2.11819478450343,0.27607934724686567,0.08921950418306024,0.05574196801324816,M,57,59,10,0,8.2986073596403,9.534872663207352
22,Aleksandar Mitrovic,Fulham,EPL,37,3285,11,10,3,15.452766000293195,2.9691336788237095,14.691597103141248,0.4233634520628273,0.08134612818695094,0.4025095096751027,F,131,31,7,0,5.371469743549824,18.897143069654703
23,Salomón Rondón,Newcastle United,EPL,32,2616,11,11,7,10.635379770770669,3.4131878558546305,10.635379770770669,0.365896093031101,0.11742618770142077,0.365896093031101,F S,89,32,1,0,4.21826634183526,15.463675782084465
24,Leroy Sané,Manchester City,EPL,31,1866,10,10,10,6.981944473460317,8.101670823991299,6.981944473460317,0.33674973344663905,0.3907558275236961,0.33674973344663905,F M S,56,40,1,0,10.558322884142399,21.35401276499033
25,Wilfried Zaha,Crystal Palace,EPL,34,3046,10,10,5,6.490763653069735,5.404334913939238,6.490763653069735,0.19178224844920425,0.15968159627528936,0.19178224844920425,F M,73,54,8,1,7.036865543574095,16.558542707934976
26,Anthony Martial,Manchester United,EPL,27,1632,10,9,2,7.954482201486826,3.2472195653244853,7.193313341587782,0.4386662978761117,0.179074608381865,0.3966900739846203,F M S,39,36,2,0,3.600729596801102,11.796286429278553
27,Marcus Rashford,Manchester United,EPL,33,2360,10,10,6,11.614454694092274,5.270443614572287,11.614454694092274,0.4429241196899596,0.20099149377606176,0.4429241196899596,F M S,84,38,3,1,5.243192846421152,16.822124781552702
28,Gerard Deulofeu,Watford,EPL,30,2110,10,10,5,8.334904950112104,4.96249932423234,8.334904950112104,0.35551727275359685,0.2116705872895311,0.35551727275359685,F S,60,30,3,0,5.4338822439312935,15.967125434428453
29,Marko Arnautovic,West Ham,EPL,28,2006,10,9,4,8.936904326081276,3.9999548010528088,8.175809696316719,0.4009578212100273,0.17945958728551983,0.3668110033242795,F M S,62,36,3,0,2.8474414478987455,12.378130692988634
30,Lucas Moura,Tottenham,EPL,32,2133,10,10,0,7.591315286234021,1.6590780727565289,7.591315286234021,0.3203086618664144,0.07000329420913624,0.3203086618664144,F M S,45,27,3,0,6.85432219132781,13.82257379591465
