,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,trID,team0ID,team1ID
0,Harry Kane,Tottenham,EPL,30,2556,29,24,7,19.82009919732809,5.5538915153592825,15.253085978329182,0.6978908168073271,0.1955595603999747,0.5370804921946895,F M S,110,41,3,0,4.12599990144372,21.94719305820763,132098,148,0
1,Romelu Lukaku,Everton,EPL,37,3271,25,24,6,16.665452419780195,5.440816408023238,15.904283582232893,0.4585419497952361,0.1497014603246993,0.4375987534090371,F S,110,47,3,0,3.970201384276152,21.25199849065393,96341,29,0
2,Alexis Sánchez,Arsenal,EPL,38,3233,24,22,10,17.724449135363102,8.988117071799934,15.44094256311655,0.4934118225124278,0.2502104968951419,0.4298437459574666,F M S,129,78,6,0,9.08672859147191,27.14118772558868,40433,11,0
3,Sergio Agüero,Manchester City,EPL,31,2408,20,16,3,22.672585003077984,4.665906261652708,18.86674086004496,0.8473972800153732,0.1743901841979832,0.7051522746694543,F S,139,31,4,1,5.0266740852966905,25.35206551104784,26399,281,0
4,Diego Costa,Chelsea,EPL,35,3101,20,20,7,15.43179700151086,4.912058966234326,14.670628163963556,0.4478754369996702,0.1425621757372103,0.4257841131108417,F,111,42,10,0,6.565549122169614,22.00321447104216,44779,631,0
5,Dele Alli,Tottenham,EPL,37,3060,18,17,7,14.708572203293445,4.573811644688249,13.94740335084498,0.4326050648027483,0.1345238719025955,0.4102177456130876,F M S,94,52,4,0,8.973644252866507,25.15399905666709,207929,148,0
6,Zlatan Ibrahimovic,Manchester United,EPL,28,2435,17,15,5,14.637966640293598,5.118233239278197,12.354460082948208,0.5410336745899071,0.1891749451889272,0.4566330215463403,F S,115,48,7,0,6.219504989683628,20.0569379478693,3455,985,0
7,Joshua King,Bournemouth,EPL,36,2734,16,14,2,10.911753680557013,2.409230097196996,8.628247126936913,0.3592018402524254,0.079308964428577,0.2840315440469356,F M S,67,30,1,0,3.4120457973331213,12.56197816412896,91059,989,0
8,Eden Hazard,Chelsea,EPL,36,3050,16,14,5,11.032845260575414,6.440569620579481,8.749338624998927,0.3255593683448483,0.1900495953613617,0.2581772053278371,F M,77,88,3,0,9.108128473162653,20.609456665813923,50202,631,0
9,Christian Benteke,Crystal Palace,EPL,36,3153,15,13,2,17.355857238173485,2.058575801551342,14.311181794852018,0.4954098165035248,0.0587604891023218,0.4085018590347864,F,105,32,10,0,4.110886909067631,13.20292018726468,50201,873,0
10,Jermain Defoe,Sunderland,EPL,37,3324,15,10,2,13.647569719702004,1.3696135636419058,9.841725539416077,0.3695190357320037,0.0370833997375967,0.266472713161085,F,99,20,1,0,2.2906542737036943,11.509980512782931,3875,289,0
11,Fernando Llorente,Swansea,EPL,33,2462,15,15,1,8.028606227599084,2.0905658253468573,8.028606227599084,0.2934908856555311,0.0764219838672693,0.2934908856555311,F S,51,26,2,0,2.960022170096636,8.600844793021679,35564,2288,0
12,Son Heung-Min,Tottenham,EPL,34,2069,14,14,6,7.7653309646993876,4.6964171743020415,7.7653309646993876,0.3377862671933034,0.2042907422364348,0.3377862671933034,F M S,80,43,2,0,4.281621094793081,14.948595624417068,91845,148,0
13,Philippe Coutinho,Liverpool,EPL,31,2265,13,13,7,8.867860797792673,6.25872527807951,8.867860797792673,0.3523653297136161,0.2486910706521659,0.3523653297136161,F M S,106,65,2,0,8.191241776570678,18.205970101058483,80444,31,0
14,Jamie Vardy,Leicester,EPL,35,2822,13,13,5,9.947158509865403,4.675952479243279,9.947158509865403,0.3172375144889746,0.1491267622721102,0.3172375144889746,F S,53,31,2,1,2.7869283128529787,14.123056959360838,197838,1003,0
15,Sadio Mané,Liverpool,EPL,27,2257,13,13,5,9.48092144355178,4.445210799574852,9.48092144355178,0.3780606689940895,0.1772569658669635,0.3780606689940895,F S,57,43,4,0,9.525848926976323,20.18912971019745,200512,31,0
16,Olivier Giroud,Arsenal,EPL,29,1170,12,12,3,6.9990871623158455,2.011806886643172,6.9990871623158455,0.538391320178142,0.1547543758956285,0.538391320178142,F S,39,17,2,0,1.824637213721872,9.583839835599065,82442,11,0
17,Roberto Firmino,Liverpool,EPL,35,3077,11,11,7,10.36466862168163,7.852919233031571,10.36466862168163,0.3031589782097325,0.2296921452625419,0.3031589782097325,F S,100,78,5,0,11.649146885611117,24.931323517113924,131789,31,0
18,Theo Walcott,Arsenal,EPL,28,1944,10,10,2,9.90147614851594,2.525607186369598,9.140307281166317,0.4584016735424046,0.1169262586282221,0.4231623741280701,F M S,62,13,1,0,2.4239509468898177,11.12321549281478,33713,11,0
19,Troy Deeney,Watford,EPL,37,2940,10,7,4,8.593499574810266,3.109724134206772,6.309993013739586,0.2630663135145999,0.0951956367614317,0.1931630514410077,F S,42,40,7,0,2.082099471241236,9.318243147805331,65477,1010,0
20,Sam Vokes,Burnley,EPL,37,2030,10,8,3,8.347451165318489,1.529019863344729,6.825113475322723,0.3700840418121497,0.0677890579808007,0.3025912378221897,F S,57,15,0,0,1.6939680464565754,7.930251639336348,48078,1132,0
21,Michail Antonio,West Ham,EPL,29,2451,9,9,3,9.790298977866769,3.389843594282865,9.790298977866769,0.3594969024920478,0.1244740609895789,0.3594969024920478,D F M,77,31,4,1,3.0400038193911314,13.22930390201509,104124,379,0
